Comment,Designator,Footprint,LCSC,Quantity
1k,R1,R_0402_1005Metric,C11702,1
10uF,"C23,C24",C_1206_3216Metric,C13585,2
47nF,C28,C_0603_1608Metric,C1622,1
1N5819WS,D5,D_SOD-323_HandSoldering,C191023,1
100k,R4,R_0402_1005Metric,C25741,1
10k,"R19,R2,R24,R26,R28,R29,R3",R_0402_1005Metric,C25744,7
20k,"R30,R69,R72,R75",R_0402_1005Metric,C25765,4
47k,R18,R_0402_1005Metric,C25792,1
0.1uF,"C1,C25,C29",C_0402_1005Metric,C307331,3
BSS138,Q5,SOT-23,C5224274,1
1uF,"C14,C26,C27",C_0402_1005Metric,C52923,3
Driver_FETGate_DRV8323S,U6,Driver_FETGate_DRV8323S,C701784,1
